K_value,Best_Case,Average_Case,Worst_Case
0,14869,15863,14837
2,7493,11615,12223
4,7732,9701,10371
6,5940,1500,7638
8,7171,1049,10356
10,4131,1042,8157
12,3930,0,8496
14,0,4067,4001
16,6429,0,10243
18,3490,3316,3744
20,4453,1036,6367
22,0,4278,11393
24,1995,0,9064
26,1010,992,7063
28,1062,996,8587
30,1037,1002,7059
32,998,999,8201
34,997,997,6555
36,337,0,1000
38,0,0,6979
40,0,998,9006
42,0,0,5721
44,994,0,2991
46,0,1279,14619
48,2033,1123,8354
50,1711,0,8209
52,0,0,4152
54,509,0,7713
56,0,0,3206
58,0,0,5766
60,991,0,5205
62,0,1530,8111
64,0,0,8748
66,0,1480,4995
68,0,0,9358
70,0,0,6190
72,0,1036,4088
74,0,0,3399
76,3693,998,3053
78,1005,0,7287
80,0,0,8328
82,0,0,7396
84,0,0,4140
86,0,0,5544
88,0,997,2202
90,1653,1000,2769
92,0,4098,12255
94,3996,441,6442
96,0,0,5693
98,1053,0,5502
100,0,0,4165
102,0,0,7976
104,0,0,6488
106,0,0,4044
108,0,0,7258
110,0,0,2888
112,999,0,5957
114,0,1050,5221
116,0,0,8969
118,0,0,6292
120,779,0,5087
122,0,0,2703
124,0,0,8914
126,0,0,6436
128,0,0,5154
130,0,0,6196
132,0,3996,5860
134,0,0,4116
136,0,0,6261
138,0,0,3991
140,0,0,5058
142,0,0,3013
144,0,0,2192
146,0,0,8006
148,0,0,7491
150,0,0,5089
152,0,0,7128
154,0,0,8593
156,0,0,6015
158,0,0,8769
160,0,0,5239
162,0,0,6859
164,0,0,8601
166,0,0,7420
168,0,0,9308
170,1067,658,7075
172,0,853,7209
174,0,0,5191
176,0,599,5108
178,0,0,11990
180,0,0,8076
182,0,0,4046
184,0,0,4001
186,0,0,4938
188,0,0,5735
190,0,0,9519
192,0,0,7931
194,998,0,7446
196,1057,999,7689
198,0,1005,6657
